scene,frame,variant,metric_profile,pq,sq,rq,miou,macc,mcov,mwcov,mprec,mrec,tp,fp,fn,num_pred_segments,num_gt_segments,num_pred_instances,num_gt_instances
5748ce6f01,5748ce6f01/DSC00007,raw,prpp_compatible,0.658942057162435,0.8566246743111655,0.7692307692307693,0.6472099437572896,0.766405001164197,0.7187361370468588,0.7293941309190967,0.8181818181818182,0.9,10,4,2,14,12,11,10
5748ce6f01,5748ce6f01/DSC00007,gt_label,prpp_compatible,0.658942057162435,0.8566246743111655,0.7692307692307693,0.6723405079509808,0.7055569849582044,0.70773656243655,0.7090897634453568,0.8,0.8,10,4,2,14,12,10,10
5748ce6f01,5748ce6f01/DSC00007,gt_shape,prpp_compatible,0.9166666666666666,1.0,0.9166666666666666,0.8513467706363447,0.8644288701530588,0.9,0.9784229797579924,0.9,0.9,11,1,1,12,12,10,10
5748ce6f01,5748ce6f01/DSC00012,raw,prpp_compatible,0.6565306167157922,0.8534898017305299,0.7692307692307693,0.640512366212218,0.7594322847122787,0.7195898261551369,0.7408694904120083,0.8181818181818182,0.9,10,4,2,14,12,11,10
5748ce6f01,5748ce6f01/DSC00012,gt_label,prpp_compatible,0.6565306167157922,0.8534898017305299,0.7692307692307693,0.6687491492578512,0.701511936934939,0.7111986572562861,0.7269193109647298,0.8,0.8,10,4,2,14,12,10,10
5748ce6f01,5748ce6f01/DSC00012,gt_shape,prpp_compatible,0.9166666666666666,1.0,0.9166666666666666,0.8487798902047885,0.8638365016320646,0.9,0.9772324942100267,0.9,0.9,11,1,1,12,12,10,10
5748ce6f01,5748ce6f01/DSC00017,raw,prpp_compatible,0.6301008234242849,0.8821411527939989,0.7142857142857143,0.6762478938850855,0.7897536382754852,0.7304115402747245,0.7867168030242792,0.6923076923076923,0.9,10,6,2,16,12,13,10
5748ce6f01,5748ce6f01/DSC00017,gt_label,prpp_compatible,0.6301008234242849,0.8821411527939989,0.7142857142857143,0.673516837746607,0.7043203732165709,0.7176117660762944,0.7717788042428042,0.6666666666666666,0.8,10,6,2,16,12,12,10
5748ce6f01,5748ce6f01/DSC00017,gt_shape,prpp_compatible,0.9166666666666666,1.0,0.9166666666666666,0.8330921509640454,0.8611567455962246,0.9,0.966211691236177,0.9,0.9,11,1,1,12,12,10,10
5748ce6f01,5748ce6f01/DSC00022,raw,prpp_compatible,0.6839000296636158,0.8548750370795198,0.8,0.7097653435223461,0.8027989248777523,0.761139196607246,0.8143249369784908,0.7142857142857143,0.9090909090909091,12,5,1,17,13,14,11
5748ce6f01,5748ce6f01/DSC00022,gt_label,prpp_compatible,0.6839000296636158,0.8548750370795198,0.8,0.711418746671113,0.8046870226303962,0.761139196607246,0.8143249369784908,0.7692307692307693,0.9090909090909091,12,5,1,17,13,13,11
5748ce6f01,5748ce6f01/DSC00022,gt_shape,prpp_compatible,0.9230769230769231,1.0,0.9230769230769231,0.8201130002783296,0.854473312436537,0.9090909090909091,0.963841882601798,0.9090909090909091,0.9090909090909091,12,1,1,13,13,11,11
5748ce6f01,5748ce6f01/DSC00027,raw,prpp_compatible,0.6729299262074412,0.8870439936370815,0.7586206896551724,0.66625585250191,0.7783478038955461,0.7577042382626984,0.8343862775199196,0.7692307692307693,0.9090909090909091,11,5,2,16,13,13,11
5748ce6f01,5748ce6f01/DSC00027,gt_label,prpp_compatible,0.6729299262074412,0.8870439936370815,0.7586206896551724,0.6724869200791562,0.700604904524525,0.7447639680255415,0.8222988804821063,0.8181818181818182,0.8181818181818182,11,5,2,16,13,11,11
5748ce6f01,5748ce6f01/DSC00027,gt_shape,prpp_compatible,0.9230769230769231,1.0,0.9230769230769231,0.8435198726121338,0.8626606183688577,0.9090909090909091,0.9846458145748151,0.9090909090909091,0.9090909090909091,12,1,1,13,13,11,11
5748ce6f01,5748ce6f01/DSC00032,raw,prpp_compatible,0.6632598066770361,0.8742970178924566,0.7586206896551724,0.7035322705877449,0.7856844589667908,0.7049433246259525,0.8349082661721751,0.75,0.8181818181818182,11,5,2,16,13,12,11
5748ce6f01,5748ce6f01/DSC00032,gt_label,prpp_compatible,0.7272442775324209,0.878753502018342,0.8275862068965517,0.7389256027407459,0.8212841613982742,0.7049433246259525,0.8349082661721751,0.75,0.8181818181818182,12,4,1,16,13,12,11
5748ce6f01,5748ce6f01/DSC00032,gt_shape,prpp_compatible,0.8461538461538461,1.0,0.8461538461538461,0.8077017505327356,0.8251392945427776,0.8181818181818182,0.9475713981258271,0.9,0.8181818181818182,11,2,2,13,13,10,11
5748ce6f01,5748ce6f01/DSC00037,raw,prpp_compatible,0.7369404736714468,0.8597638859500213,0.8571428571428571,0.7244917030638078,0.7989079463276711,0.7792027092171586,0.8394979590571279,0.8333333333333334,0.9090909090909091,12,3,1,15,13,12,11
5748ce6f01,5748ce6f01/DSC00037,gt_label,prpp_compatible,0.7369404736714468,0.8597638859500213,0.8571428571428571,0.7260803955239392,0.8002184835706982,0.7792027092171586,0.8394979590571279,0.9090909090909091,0.9090909090909091,12,3,1,15,13,11,11
5748ce6f01,5748ce6f01/DSC00037,gt_shape,prpp_compatible,0.9230769230769231,1.0,0.9230769230769231,0.8563319160776628,0.8631480132616667,0.9090909090909091,0.9908632033971941,0.9090909090909091,0.9090909090909091,12,1,1,13,13,11,11
5748ce6f01,5748ce6f01/DSC00043,raw,prpp_compatible,0.8037993426069299,0.9042742604327961,0.8888888888888888,0.7746021133541152,0.7836805141916243,0.8305879912163182,0.9063822832718164,0.9090909090909091,0.9090909090909091,12,2,1,14,13,11,11
5748ce6f01,5748ce6f01/DSC00043,gt_label,prpp_compatible,0.8425409532855205,0.9127526993926471,0.9230769230769231,0.787319771793892,0.8108150939651553,0.8305879912163182,0.9063822832718164,0.9090909090909091,0.9090909090909091,12,1,1,13,13,11,11
5748ce6f01,5748ce6f01/DSC00043,gt_shape,prpp_compatible,0.9230769230769231,1.0,0.9230769230769231,0.8632606969125385,0.8632606969125385,0.9090909090909091,0.9914815777219202,1.0,0.9090909090909091,12,1,1,13,13,10,11
5748ce6f01,5748ce6f01/DSC00048,raw,prpp_compatible,0.6252084072130905,0.8752917700983266,0.7142857142857143,0.6450543836421481,0.7604467165447164,0.6749043314594032,0.8600189419289554,0.8181818181818182,0.8181818181818182,10,5,3,15,13,11,11
5748ce6f01,5748ce6f01/DSC00048,gt_label,prpp_compatible,0.6891572362772322,0.8771092098073865,0.7857142857142857,0.6837509050306084,0.7154510665015842,0.6703319201109708,0.8574198189130432,0.8,0.7272727272727273,11,4,2,15,13,10,11
5748ce6f01,5748ce6f01/DSC00048,gt_shape,prpp_compatible,0.8461538461538461,1.0,0.8461538461538461,0.8383692646685291,0.8544523986928005,0.8181818181818182,0.9867060328500994,0.9,0.8181818181818182,11,2,2,13,13,10,11
5748ce6f01,5748ce6f01/DSC00053,raw,prpp_compatible,0.612567049692685,0.8882222220543934,0.6896551724137931,0.603540197379579,0.7143239698438847,0.6790436662268768,0.8291466264456496,0.6923076923076923,0.8181818181818182,10,6,3,16,13,13,11
5748ce6f01,5748ce6f01/DSC00053,gt_label,prpp_compatible,0.612567049692685,0.8882222220543934,0.6896551724137931,0.5933328968604469,0.6300408779226597,0.6606037571304676,0.8152250498415249,0.7272727272727273,0.7272727272727273,10,6,3,16,13,11,11
5748ce6f01,5748ce6f01/DSC00053,gt_shape,prpp_compatible,0.8461538461538461,1.0,0.8461538461538461,0.7465378347231134,0.7875245351747466,0.8181818181818182,0.9665164206958685,0.8181818181818182,0.8181818181818182,11,2,2,13,13,11,11
5748ce6f01,5748ce6f01/DSC00058,raw,prpp_compatible,0.5670050048566457,0.8820077853325601,0.6428571428571429,0.5445598959389644,0.6620281495681332,0.5898995592854465,0.6462292747138217,0.7272727272727273,0.7272727272727273,9,6,4,15,13,11,11
5748ce6f01,5748ce6f01/DSC00058,gt_label,prpp_compatible,0.6609136716549383,0.8411628548335578,0.7857142857142857,0.617602314842926,0.6721385786817302,0.6077577994434711,0.6922917720443515,0.8,0.7272727272727273,11,4,2,15,13,10,11
5748ce6f01,5748ce6f01/DSC00058,gt_shape,prpp_compatible,0.7692307692307693,1.0,0.7692307692307693,0.6404241541840501,0.7303706422798769,0.7272727272727273,0.7740917927112164,0.8,0.7272727272727273,10,3,3,13,13,10,11
5748ce6f01,5748ce6f01/DSC00063,raw,prpp_compatible,0.5434978422832137,0.8756354125673999,0.6206896551724138,0.6326137335470228,0.7481319450519047,0.5987773370213104,0.7820393333972548,0.6153846153846154,0.7272727272727273,9,7,4,16,13,13,11
5748ce6f01,5748ce6f01/DSC00063,gt_label,prpp_compatible,0.5434978422832137,0.8756354125673999,0.6206896551724138,0.6367614401845847,0.6814537688725792,0.5871619708161605,0.7726628156496822,0.6363636363636364,0.6363636363636364,9,7,4,16,13,11,11
5748ce6f01,5748ce6f01/DSC00063,gt_shape,prpp_compatible,0.7692307692307693,1.0,0.7692307692307693,0.7638386671241809,0.8306582152357729,0.7272727272727273,0.9157165251707748,0.7272727272727273,0.7272727272727273,10,3,3,13,13,11,11
5748ce6f01,5748ce6f01/DSC00068,raw,prpp_compatible,0.5717847742193677,0.8576771613290516,0.6666666666666666,0.6054056377058894,0.7240911270787951,0.5961647726440474,0.7844744747175211,0.7272727272727273,0.7272727272727273,9,5,4,14,13,11,11
5748ce6f01,5748ce6f01/DSC00068,gt_label,prpp_compatible,0.5747600377615898,0.8621400566423847,0.6666666666666666,0.6317716146702681,0.6743013700442083,0.5828441308696064,0.7724479671732525,0.7777777777777778,0.6363636363636364,9,5,4,14,13,9,11
5748ce6f01,5748ce6f01/DSC00068,gt_shape,prpp_compatible,0.6923076923076923,1.0,0.6923076923076923,0.5943237861562021,0.706113316730383,0.7272727272727273,0.9201835365154964,0.7272727272727273,0.7272727272727273,9,4,4,13,13,11,11
5748ce6f01,5748ce6f01/DSC00073,raw,prpp_compatible,0.5591424841002068,0.8107566019453,0.6896551724137931,0.6432646276315962,0.739350101003833,0.5610185171098971,0.7010958135603659,0.6666666666666666,0.6666666666666666,10,5,4,15,14,12,12
