scene,frame,variant,metric_profile,pq,sq,rq,miou,macc,mcov,mwcov,mprec,mrec,tp,fp,fn,num_pred_segments,num_gt_segments,num_pred_instances,num_gt_instances
f6659a3107,f6659a3107/DSC04345,raw,prpp_compatible,0.5242839777034436,0.7602117676699931,0.6896551724137931,0.4871176960997251,0.5513461285502875,0.6166359342556234,0.7878371677068315,0.6153846153846154,0.8888888888888888,10,7,2,17,12,13,9
f6659a3107,f6659a3107/DSC04345,gt_label,prpp_compatible,0.5538305415877892,0.7753627582229049,0.7142857142857143,0.5063400041377437,0.5707000992361876,0.6166359342556234,0.7878371677068315,0.8,0.8888888888888888,10,6,2,16,12,10,9
f6659a3107,f6659a3107/DSC04345,gt_shape,prpp_compatible,1.0,1.0,1.0,0.625,0.625,1.0,1.0,1.0,1.0,12,0,0,12,12,9,9
f6659a3107,f6659a3107/DSC04349,raw,prpp_compatible,0.5079141888155217,0.733653828289087,0.6923076923076923,0.49273528817930984,0.5574926396431882,0.5084119488925463,0.7834726919192787,0.6666666666666666,0.7777777777777778,9,5,3,14,12,9,9
f6659a3107,f6659a3107/DSC04349,gt_label,prpp_compatible,0.561685631676194,0.7489141755682587,0.75,0.5083939017688425,0.5751980192577466,0.5084119488925463,0.7834726919192787,0.8571428571428571,0.7777777777777778,9,3,3,12,12,7,9
f6659a3107,f6659a3107/DSC04349,gt_shape,prpp_compatible,0.9558058316553296,0.9992515512760264,0.9565217391304348,0.6208639180522476,0.6218930350477112,0.8888888888888888,0.9932650750472929,1.0,0.8888888888888888,11,0,1,11,12,8,9
f6659a3107,f6659a3107/DSC04354,raw,prpp_compatible,0.4547795690932201,0.7579659484887001,0.6,0.4807603844275167,0.5956818161564932,0.5931701417507945,0.7741406516790141,0.6363636363636364,0.8888888888888888,9,8,4,17,13,11,9
f6659a3107,f6659a3107/DSC04354,gt_label,prpp_compatible,0.5445605846819711,0.7623848185547596,0.7142857142857143,0.5359380100893332,0.5757554948374088,0.5931701417507945,0.7741406516790141,0.875,0.8888888888888888,10,5,3,15,13,8,9
f6659a3107,f6659a3107/DSC04354,gt_shape,prpp_compatible,0.88,1.0,0.88,0.521273968789467,0.625,1.0,1.0,1.0,1.0,11,1,2,12,13,9,9
f6659a3107,f6659a3107/DSC04358,raw,prpp_compatible,0.4436814301154186,0.7887669868718553,0.5625,0.4828590215578761,0.5962575098656254,0.6223095246662953,0.8051500824320521,0.5384615384615384,0.8888888888888888,9,10,4,19,13,13,9
f6659a3107,f6659a3107/DSC04358,gt_label,prpp_compatible,0.5301370256917681,0.7952055385376522,0.6666666666666666,0.5595472534189514,0.5881371588855445,0.6223095246662953,0.8051500824320521,0.7,0.8888888888888888,10,7,3,17,13,10,9
f6659a3107,f6659a3107/DSC04358,gt_shape,prpp_compatible,0.8325321036465821,0.9990385243758986,0.8333333333333334,0.5110386684605025,0.6219738885403705,0.8888888888888888,0.991999728113105,1.0,0.8888888888888888,10,1,3,11,13,8,9
f6659a3107,f6659a3107/DSC04363,raw,prpp_compatible,0.4896592577266777,0.8160987628777961,0.6,0.4782814174547596,0.589864556624369,0.6281148314841711,0.8149894827990993,0.6363636363636364,0.8888888888888888,9,8,4,17,13,11,9
f6659a3107,f6659a3107/DSC04363,gt_label,prpp_compatible,0.5889847930694295,0.8245787102972013,0.7142857142857143,0.5741616144432371,0.5959862083862743,0.6281148314841711,0.8149894827990993,0.875,0.8888888888888888,10,5,3,15,13,8,9
f6659a3107,f6659a3107/DSC04363,gt_shape,prpp_compatible,0.7988011212841475,0.9985014016051844,0.8,0.49462429081753684,0.4964975388110564,0.8888888888888888,0.9886175965804216,1.0,0.8888888888888888,10,2,3,12,13,8,9
f6659a3107,f6659a3107/DSC04367,raw,prpp_compatible,0.5564909239499842,0.7841463019295233,0.7096774193548387,0.6250393086086805,0.6801024427756204,0.6302365300397316,0.7664948636400583,0.5833333333333334,0.8888888888888888,11,7,2,18,13,12,9
f6659a3107,f6659a3107/DSC04367,gt_label,prpp_compatible,0.6018212553320186,0.7933098365740245,0.7586206896551724,0.6379656718989843,0.6994044984424027,0.6302365300397316,0.7664948636400583,0.7777777777777778,0.8888888888888888,11,5,2,16,13,9,9
f6659a3107,f6659a3107/DSC04367,gt_shape,prpp_compatible,0.9559667033139627,0.9957986492853778,0.96,0.7399919611821536,0.746293987254087,0.8888888888888888,0.9871296259171645,1.0,0.8888888888888888,12,0,1,12,13,8,9
f6659a3107,f6659a3107/DSC04371,raw,prpp_compatible,0.5735696269628856,0.8316759590961841,0.6896551724137931,0.5832030850491643,0.5956986414799773,0.6331334700780095,0.772511425402055,0.7,0.8888888888888888,10,6,3,16,13,10,9
f6659a3107,f6659a3107/DSC04371,gt_label,prpp_compatible,0.6777828751427722,0.8318244376752205,0.8148148148148148,0.6741725674858764,0.6988303034172751,0.6331334700780095,0.772511425402055,0.875,0.8888888888888888,11,3,2,14,13,8,9
f6659a3107,f6659a3107/DSC04371,gt_shape,prpp_compatible,0.8770099154907277,0.9966021766940087,0.88,0.6133577121499393,0.6180297191956772,0.8888888888888888,0.9725115172157813,1.0,0.8888888888888888,11,1,2,12,13,8,9
