scene,frame,variant,metric_profile,pq,sq,rq,miou,macc,mcov,mwcov,mprec,mrec,tp,fp,fn,num_pred_segments,num_gt_segments,num_pred_instances,num_gt_instances
1ada7a0617,1ada7a0617/DSC03462,raw,prpp_compatible,0.4508251599437821,0.7513752665729702,0.6,0.3840193785304565,0.45094189627132025,0.5355030564535741,0.575540939777536,0.8571428571428571,0.8571428571428571,6,5,3,11,9,7,7
1ada7a0617,1ada7a0617/DSC03462,gt_label,prpp_compatible,0.5129399579438166,0.769409936915725,0.6666666666666666,0.39303693301335363,0.4614523153563849,0.5355030564535741,0.575540939777536,1.0,0.8571428571428571,6,3,3,9,9,6,7
1ada7a0617,1ada7a0617/DSC03462,gt_shape,prpp_compatible,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,9,0,0,9,9,7,7
1ada7a0617,1ada7a0617/DSC03464,raw,prpp_compatible,0.36495919516404796,0.7299183903280959,0.5,0.36399823189309055,0.440006845001266,0.30955321889896753,0.4669750135539437,0.5,0.5,5,6,4,11,9,6,6
1ada7a0617,1ada7a0617/DSC03464,gt_label,prpp_compatible,0.38977467529999793,0.7405718830699961,0.5263157894736842,0.4025732453059995,0.41405690658102356,0.2940847983473889,0.45916269151672023,0.6,0.5,5,5,4,10,9,5,6
1ada7a0617,1ada7a0617/DSC03464,gt_shape,prpp_compatible,0.7777777777777778,1.0,0.7777777777777778,0.3378978996403932,0.4166666666666667,0.8333333333333334,0.9498632271800654,1.0,0.8333333333333334,7,2,2,9,9,5,6
1ada7a0617,1ada7a0617/DSC03466,raw,prpp_compatible,0.3918337645372324,0.6661173997132951,0.5882352941176471,0.2496760462224542,0.2841335006677812,0.375360391344696,0.5216087564192387,0.5714285714285714,0.6,5,5,2,10,7,7,5
1ada7a0617,1ada7a0617/DSC03466,gt_label,prpp_compatible,0.5627407416827844,0.7503209889103792,0.75,0.38125724323788374,0.3988928970803303,0.5333313631124308,0.6108899555462588,0.7142857142857143,0.8,6,3,1,9,7,7,5
1ada7a0617,1ada7a0617/DSC03466,gt_shape,prpp_compatible,0.8571428571428571,1.0,0.8571428571428571,0.3009730778477591,0.3333333333333333,0.8,0.8869650567722145,0.8,0.8,6,1,1,7,7,5,5
1ada7a0617,1ada7a0617/DSC03467,raw,prpp_compatible,0.3951556216668622,0.6717645568336656,0.5882352941176471,0.2858846905450912,0.28708937009084695,0.37471570494577294,0.5798579835517815,0.5714285714285714,0.6,5,5,2,10,7,7,5
