scene,frame,mode,metric_profile,pq,sq,rq,miou,macc,mcov,mwcov,mprec,mrec,tp,fp,fn,num_pred_segments,num_gt_segments,num_pred_instances,num_gt_instances
1ada7a0617,1ada7a0617/DSC03462,per-view,prpp_compatible,0.4508251599437821,0.7513752665729702,0.6,0.3840193785304565,0.45094189627132025,0.5355030564535741,0.575540939777536,0.8571428571428571,0.8571428571428571,6,5,3,11,9,7,7
1ada7a0617,1ada7a0617/DSC03464,per-view,prpp_compatible,0.36495919516404796,0.7299183903280959,0.5,0.36399823189309055,0.440006845001266,0.30955321889896753,0.4669750135539437,0.5,0.5,5,6,4,11,9,6,6
1ada7a0617,1ada7a0617/DSC03466,per-view,prpp_compatible,0.3918337645372324,0.6661173997132951,0.5882352941176471,0.2496760462224542,0.2841335006677812,0.375360391344696,0.5216087564192387,0.5714285714285714,0.6,5,5,2,10,7,7,5
1ada7a0617,1ada7a0617/DSC03467,per-view,prpp_compatible,0.3951556216668622,0.6717645568336656,0.5882352941176471,0.2858846905450912,0.28708937009084695,0.37471570494577294,0.5798579835517815,0.5714285714285714,0.6,5,5,2,10,7,7,5
1ada7a0617,1ada7a0617/DSC03469,per-view,prpp_compatible,0.33861467744787166,0.6433678871509562,0.5263157894736842,0.3267331003243031,0.36394857120662644,0.5358784684177347,0.5951663469911646,0.5,0.8,5,7,2,12,7,8,5
1ada7a0617,1ada7a0617/DSC03471,per-view,prpp_compatible,0.559585550480324,0.8082902395826902,0.6923076923076923,0.5637952237374676,0.6183173266494965,0.6673366702700712,0.6740426819715509,0.7,0.8888888888888888,9,5,3,14,12,10,9
1ada7a0617,1ada7a0617/DSC03473,per-view,prpp_compatible,0.5544140558460003,0.7812198059648187,0.7096774193548387,0.6887614732445769,0.7578812999011867,0.6335266590358991,0.6463264757997076,0.6428571428571429,0.9,11,7,2,18,13,14,10
1ada7a0617,1ada7a0617/DSC03475,per-view,prpp_compatible,0.5197944013019298,0.8576607621481841,0.6060606060606061,0.6894918192324525,0.773440432247158,0.46835596929121937,0.8367645862800169,1.0,0.6,10,6,7,16,17,11,15
1ada7a0617,1ada7a0617/DSC03476,per-view,prpp_compatible,0.5444086071667297,0.8166129107500946,0.6666666666666666,0.6999189096377045,0.7969979391830683,0.4077540679293957,0.8473237334328256,0.9,0.47368421052631576,12,2,10,14,22,10,19
1ada7a0617,1ada7a0617/DSC03478,per-view,prpp_compatible,0.5864218890314791,0.8796328335472186,0.6666666666666666,0.7199451944983358,0.768248561065695,0.5512789180786182,0.8826900460854701,0.7058823529411765,0.631578947368421,15,7,8,22,23,17,19
1ada7a0617,1ada7a0617/DSC03480,per-view,prpp_compatible,0.6618941358194419,0.8163361008439783,0.8108108108108109,0.8043940033897196,0.8394926365064442,0.6370114681339109,0.7840215552048814,0.8571428571428571,0.7857142857142857,15,4,3,19,18,14,14
1ada7a0617,1ada7a0617/DSC03482,per-view,prpp_compatible,0.4723551756607224,0.7448677770034469,0.6341463414634146,0.5235175417161779,0.5538816481135558,0.6265730293529415,0.8296157939127687,0.5263157894736842,0.8461538461538461,13,11,4,24,17,19,13
1ada7a0617,1ada7a0617/DSC03484,per-view,prpp_compatible,0.5862465753141635,0.8402867579503009,0.6976744186046512,0.5740500942623324,0.5946743984026704,0.6806190315265733,0.5179676758462144,0.55,0.7857142857142857,15,10,3,25,18,20,14
