scene,frame,mode,metric_profile,pq,sq,rq,miou,macc,mcov,mwcov,mprec,mrec,tp,fp,fn,num_pred_segments,num_gt_segments,num_pred_instances,num_gt_instances
f6659a3107,f6659a3107/DSC04345,per-view,prpp_compatible,0.5242839777034436,0.7602117676699931,0.6896551724137931,0.4871176960997251,0.5513461285502875,0.6166359342556234,0.7878371677068315,0.6153846153846154,0.8888888888888888,10,7,2,17,12,13,9
f6659a3107,f6659a3107/DSC04349,per-view,prpp_compatible,0.5079141888155217,0.733653828289087,0.6923076923076923,0.49273528817930984,0.5574926396431882,0.5084119488925463,0.7834726919192787,0.6666666666666666,0.7777777777777778,9,5,3,14,12,9,9
f6659a3107,f6659a3107/DSC04354,per-view,prpp_compatible,0.4547795690932201,0.7579659484887001,0.6,0.4807603844275167,0.5956818161564932,0.5931701417507945,0.7741406516790141,0.6363636363636364,0.8888888888888888,9,8,4,17,13,11,9
f6659a3107,f6659a3107/DSC04358,per-view,prpp_compatible,0.4436814301154186,0.7887669868718553,0.5625,0.4828590215578761,0.5962575098656254,0.6223095246662953,0.8051500824320521,0.5384615384615384,0.8888888888888888,9,10,4,19,13,13,9
f6659a3107,f6659a3107/DSC04363,per-view,prpp_compatible,0.4896592577266777,0.8160987628777961,0.6,0.4782814174547596,0.589864556624369,0.6281148314841711,0.8149894827990993,0.6363636363636364,0.8888888888888888,9,8,4,17,13,11,9
f6659a3107,f6659a3107/DSC04367,per-view,prpp_compatible,0.5564909239499842,0.7841463019295233,0.7096774193548387,0.6250393086086805,0.6801024427756204,0.6302365300397316,0.7664948636400583,0.5833333333333334,0.8888888888888888,11,7,2,18,13,12,9
f6659a3107,f6659a3107/DSC04371,per-view,prpp_compatible,0.5735696269628856,0.8316759590961841,0.6896551724137931,0.5832030850491643,0.5956986414799773,0.6331334700780095,0.772511425402055,0.7,0.8888888888888888,10,6,3,16,13,10,9
f6659a3107,f6659a3107/DSC04376,per-view,prpp_compatible,0.5777881785893817,0.8141560698304923,0.7096774193548387,0.5735503412285425,0.5905985475771747,0.6188954084015108,0.8802302626192482,0.7272727272727273,0.8,11,6,3,17,14,11,10
f6659a3107,f6659a3107/DSC04380,per-view,prpp_compatible,0.6219692539427029,0.8372663033844077,0.7428571428571429,0.5924511489778055,0.6089250231373241,0.7531885474218971,0.8102365285219778,0.7142857142857143,1.0,13,7,2,20,15,14,11
f6659a3107,f6659a3107/DSC04385,per-view,prpp_compatible,0.5298333795627396,0.7743718624378502,0.6842105263157895,0.5762833653230477,0.602477781773261,0.6590928000456712,0.6786342262385462,0.625,0.9166666666666666,13,9,3,22,16,16,12
f6659a3107,f6659a3107/DSC04389,per-view,prpp_compatible,0.5950380127017113,0.818177267464853,0.7272727272727273,0.5809532106524569,0.5977720241823699,0.7985711503584193,0.9061754501094209,0.6190476190476191,1.0,16,11,1,27,17,21,13
f6659a3107,f6659a3107/DSC04393,per-view,prpp_compatible,0.4640733116053071,0.7458321079371008,0.6222222222222222,0.4440152502395089,0.46130256336963255,0.7007257952136944,0.8355797720823775,0.5454545454545454,0.9230769230769231,14,14,3,28,17,22,13
f6659a3107,f6659a3107/DSC04398,per-view,prpp_compatible,0.5479371546665406,0.8036411601775928,0.6818181818181818,0.6416556906149713,0.6703811815890557,0.7223150285987776,0.9137434111175928,0.65,0.9285714285714286,15,11,3,26,18,20,14
f6659a3107,f6659a3107/DSC04402,per-view,prpp_compatible,0.5509213158510765,0.7747331004155764,0.7111111111111111,0.6111344235724279,0.6643987512024285,0.745406708771417,0.9275543013581835,0.6190476190476191,0.9285714285714286,16,11,2,27,18,21,14
f6659a3107,f6659a3107/DSC04407,per-view,prpp_compatible,0.5295153644942653,0.794273046741398,0.6666666666666666,0.45511169197506773,0.54140283553208,0.5613659266400919,0.6764413802574274,0.7058823529411765,0.75,14,8,6,22,20,17,16
f6659a3107,f6659a3107/DSC04411,per-view,prpp_compatible,0.541027623262698,0.7608200952131691,0.7111111111111111,0.4621796204143621,0.6228846088902785,0.6497672706370665,0.6667504890889031,0.75,0.875,16,9,4,25,20,20,16
f6659a3107,f6659a3107/DSC04415,per-view,prpp_compatible,0.44366119308755836,0.7246466153763453,0.6122448979591837,0.4491391437164439,0.6489032924451112,0.5711610059771173,0.5350005811634845,0.6956521739130435,0.8823529411764706,15,13,6,28,21,23,17
f6659a3107,f6659a3107/DSC04420,per-view,prpp_compatible,0.5223042597217877,0.802110113144174,0.6511627906976745,0.49826977128546707,0.728427672682656,0.5723894096640842,0.6606881561477002,0.6666666666666666,0.75,14,9,6,23,20,18,16
f6659a3107,f6659a3107/DSC04424,per-view,prpp_compatible,0.4484278902256095,0.7761251946212473,0.5777777777777777,0.4188266565656665,0.5915836729762656,0.552785888854532,0.48582254987199147,0.7,0.8125,13,12,7,25,20,20,16
f6659a3107,f6659a3107/DSC04429,per-view,prpp_compatible,0.536131380951099,0.7505839333315386,0.7142857142857143,0.5616749201252462,0.6897946848317167,0.6301646091722416,0.5490975721085622,0.7,0.9285714285714286,15,9,3,24,18,20,14
f6659a3107,f6659a3107/DSC04433,per-view,prpp_compatible,0.4591042009346927,0.7214494586116599,0.6363636363636364,0.5042914804090274,0.6155818406605336,0.5769848055805973,0.5664253548717813,0.6190476190476191,0.8571428571428571,14,12,4,26,18,21,14
f6659a3107,f6659a3107/DSC04437,per-view,prpp_compatible,0.5271895432197644,0.7531279188853777,0.7,0.5882587287501966,0.6931566056660997,0.6553545276505873,0.6075609935905256,0.7777777777777778,1.0,14,9,3,23,17,18,13
f6659a3107,f6659a3107/DSC04442,per-view,prpp_compatible,0.569252624311739,0.7725571329945028,0.7368421052631579,0.596215545387305,0.6899565702158061,0.66372385708973,0.5852570989286022,0.8125,1.0,14,7,3,21,17,16,13
f6659a3107,f6659a3107/DSC04446,per-view,prpp_compatible,0.5197022555293324,0.7449065662587098,0.6976744186046512,0.6239487333345185,0.707609949633058,0.6743017937794591,0.5786914896551522,0.6190476190476191,1.0,15,11,2,26,17,21,13
f6659a3107,f6659a3107/DSC04451,per-view,prpp_compatible,0.5273106729498704,0.7721334853908817,0.6829268292682927,0.6118434333349182,0.6897909956010186,0.6642257499296552,0.5697002312570205,0.7222222222222222,1.0,14,10,3,24,17,18,13
f6659a3107,f6659a3107/DSC04455,per-view,prpp_compatible,0.5347475824565382,0.7664715348543714,0.6976744186046512,0.6331702512482613,0.7028136010725712,0.6892673100356878,0.6356042388425756,0.65,1.0,15,11,2,26,17,20,13
f6659a3107,f6659a3107/DSC04459,per-view,prpp_compatible,0.5320979792996476,0.7981469689494715,0.6666666666666666,0.6356750389370582,0.7004655439466618,0.6851718341349553,0.6690159251742338,0.6842105263157895,1.0,14,11,3,25,17,19,13
f6659a3107,f6659a3107/DSC04464,per-view,prpp_compatible,0.5499424197429974,0.7561708271466214,0.7272727272727273,0.6413478824671511,0.6943229065251729,0.6821143433546965,0.7181282509538799,0.7,0.9285714285714286,16,10,2,26,18,20,14
f6659a3107,f6659a3107/DSC04468,per-view,prpp_compatible,0.47644970064124964,0.7146745509618745,0.6666666666666666,0.5498068391750258,0.6774863416494499,0.5876529872089534,0.6969208462125882,0.625,0.8235294117647058,17,13,4,30,21,24,17
f6659a3107,f6659a3107/DSC04473,per-view,prpp_compatible,0.481059204569754,0.7483143182196172,0.6428571428571429,0.6223672520369317,0.7539791609211235,0.6722666718240724,0.7829301149634225,0.5862068965517241,0.9411764705882353,18,17,3,35,21,29,17
f6659a3107,f6659a3107/DSC04477,per-view,prpp_compatible,0.49686641469857257,0.7204563013129303,0.6896551724137931,0.6856012835247158,0.8070412861445784,0.6711044352398523,0.7592625614574028,0.5806451612903226,1.0,20,17,1,37,21,31,17
f6659a3107,f6659a3107/DSC04481,per-view,prpp_compatible,0.5162846848421087,0.7314033035263205,0.7058823529411765,0.5610037163512159,0.6854315238844657,0.6530038373154529,0.7267726656065903,0.6153846153846154,1.0,18,13,2,31,20,26,16
f6659a3107,f6659a3107/DSC04486,per-view,prpp_compatible,0.47593966281834144,0.7419059449815323,0.6415094339622641,0.4730251424635599,0.5698873705066254,0.6623193717620091,0.7253129265171228,0.5925925925925926,1.0,17,16,3,33,20,27,16
f6659a3107,f6659a3107/DSC04490,per-view,prpp_compatible,0.4516611094193919,0.6907758144061288,0.6538461538461539,0.4729191710479319,0.6116602746291793,0.6109690638497345,0.8240730679191491,0.5384615384615384,0.9375,17,15,3,32,20,26,16
f6659a3107,f6659a3107/DSC04494,per-view,prpp_compatible,0.4679437391187062,0.7643081072272201,0.6122448979591837,0.5701460573314221,0.6717158594336696,0.6629493223027928,0.8145530104405989,0.52,1.0,15,16,3,31,18,25,14
