scene,frame,mode,metric_profile,pq,sq,rq,miou,macc,mcov,mwcov,mprec,mrec,tp,fp,fn,num_pred_segments,num_gt_segments,num_pred_instances,num_gt_instances
5748ce6f01,5748ce6f01/DSC00007,per-view,prpp_compatible,0.658942057162435,0.8566246743111655,0.7692307692307693,0.6472099437572896,0.766405001164197,0.7187361370468588,0.7293941309190967,0.8181818181818182,0.9,10,4,2,14,12,11,10
5748ce6f01,5748ce6f01/DSC00012,per-view,prpp_compatible,0.6565306167157922,0.8534898017305299,0.7692307692307693,0.640512366212218,0.7594322847122787,0.7195898261551369,0.7408694904120083,0.8181818181818182,0.9,10,4,2,14,12,11,10
5748ce6f01,5748ce6f01/DSC00017,per-view,prpp_compatible,0.6301008234242849,0.8821411527939989,0.7142857142857143,0.6762478938850855,0.7897536382754852,0.7304115402747245,0.7867168030242792,0.6923076923076923,0.9,10,6,2,16,12,13,10
5748ce6f01,5748ce6f01/DSC00022,per-view,prpp_compatible,0.6839000296636158,0.8548750370795198,0.8,0.7097653435223461,0.8027989248777523,0.761139196607246,0.8143249369784908,0.7142857142857143,0.9090909090909091,12,5,1,17,13,14,11
5748ce6f01,5748ce6f01/DSC00027,per-view,prpp_compatible,0.6729299262074412,0.8870439936370815,0.7586206896551724,0.66625585250191,0.7783478038955461,0.7577042382626984,0.8343862775199196,0.7692307692307693,0.9090909090909091,11,5,2,16,13,13,11
5748ce6f01,5748ce6f01/DSC00032,per-view,prpp_compatible,0.6632598066770361,0.8742970178924566,0.7586206896551724,0.7035322705877449,0.7856844589667908,0.7049433246259525,0.8349082661721751,0.75,0.8181818181818182,11,5,2,16,13,12,11
5748ce6f01,5748ce6f01/DSC00037,per-view,prpp_compatible,0.7369404736714468,0.8597638859500213,0.8571428571428571,0.7244917030638078,0.7989079463276711,0.7792027092171586,0.8394979590571279,0.8333333333333334,0.9090909090909091,12,3,1,15,13,12,11
5748ce6f01,5748ce6f01/DSC00043,per-view,prpp_compatible,0.8037993426069299,0.9042742604327961,0.8888888888888888,0.7746021133541152,0.7836805141916243,0.8305879912163182,0.9063822832718164,0.9090909090909091,0.9090909090909091,12,2,1,14,13,11,11
5748ce6f01,5748ce6f01/DSC00048,per-view,prpp_compatible,0.6252084072130905,0.8752917700983266,0.7142857142857143,0.6450543836421481,0.7604467165447164,0.6749043314594032,0.8600189419289554,0.8181818181818182,0.8181818181818182,10,5,3,15,13,11,11
5748ce6f01,5748ce6f01/DSC00053,per-view,prpp_compatible,0.612567049692685,0.8882222220543934,0.6896551724137931,0.603540197379579,0.7143239698438847,0.6790436662268768,0.8291466264456496,0.6923076923076923,0.8181818181818182,10,6,3,16,13,13,11
5748ce6f01,5748ce6f01/DSC00058,per-view,prpp_compatible,0.5670050048566457,0.8820077853325601,0.6428571428571429,0.5445598959389644,0.6620281495681332,0.5898995592854465,0.6462292747138217,0.7272727272727273,0.7272727272727273,9,6,4,15,13,11,11
5748ce6f01,5748ce6f01/DSC00063,per-view,prpp_compatible,0.5434978422832137,0.8756354125673999,0.6206896551724138,0.6326137335470228,0.7481319450519047,0.5987773370213104,0.7820393333972548,0.6153846153846154,0.7272727272727273,9,7,4,16,13,13,11
5748ce6f01,5748ce6f01/DSC00068,per-view,prpp_compatible,0.5717847742193677,0.8576771613290516,0.6666666666666666,0.6054056377058894,0.7240911270787951,0.5961647726440474,0.7844744747175211,0.7272727272727273,0.7272727272727273,9,5,4,14,13,11,11
